[2024-12-05T07:09:32.544+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.544+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.544+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.544+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.544+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.544+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.545+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.545+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.545+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.545+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.545+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.546+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.546+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.546+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.546+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.546+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.547+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.547+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.547+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.547+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.547+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.548+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.548+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.548+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.548+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.548+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.549+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.549+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.549+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.549+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.550+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.550+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.550+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.550+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.551+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.551+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.551+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.551+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
