[2024-12-05T08:41:47.339+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: obt_file_processing.etl_process_obt manual__2024-12-05T08:41:31.386590+00:00 [queued]>
[2024-12-05T08:41:47.347+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: obt_file_processing.etl_process_obt manual__2024-12-05T08:41:31.386590+00:00 [queued]>
[2024-12-05T08:41:47.347+0000] {taskinstance.py:1308} INFO - Starting attempt 1 of 2
[2024-12-05T08:41:47.368+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): etl_process_obt> on 2024-12-05 08:41:31.386590+00:00
[2024-12-05T08:41:47.396+0000] {standard_task_runner.py:57} INFO - Started process 341 to run task
[2024-12-05T08:41:47.406+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'obt_file_processing', 'etl_process_obt', 'manual__2024-12-05T08:41:31.386590+00:00', '--job-id', '171', '--raw', '--subdir', 'DAGS_FOLDER/OBT_file_processing.py', '--cfg-path', '/tmp/tmpfpznl1xy']
[2024-12-05T08:41:47.409+0000] {standard_task_runner.py:85} INFO - Job 171: Subtask etl_process_obt
[2024-12-05T08:41:47.519+0000] {task_command.py:410} INFO - Running <TaskInstance: obt_file_processing.etl_process_obt manual__2024-12-05T08:41:31.386590+00:00 [running]> on host effe9442f8f2
[2024-12-05T08:41:47.626+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='obt_file_processing' AIRFLOW_CTX_TASK_ID='etl_process_obt' AIRFLOW_CTX_EXECUTION_DATE='2024-12-05T08:41:31.386590+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-05T08:41:31.386590+00:00'
[2024-12-05T08:42:17.539+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:20.488+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:23.586+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:26.478+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:29.606+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:30.579+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:34.722+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:37.604+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:40.609+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:43.609+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:44.585+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:47.606+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:48.585+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:49.591+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:50.602+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:51.628+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:53.660+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:56.603+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:42:59.602+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:02.673+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:05.609+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:08.618+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:11.620+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:14.623+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:17.630+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:19.627+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:22.643+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:24.622+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:25.711+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:29.629+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:32.680+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:35.637+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:37.645+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:38.642+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:39.678+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:42.629+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:46.634+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:49.641+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:52.648+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:54.695+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:55.722+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:56.672+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:43:57.689+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:00.659+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:02.673+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:03.704+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:07.663+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:09.688+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:12.714+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:13.738+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:14.665+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:18.789+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:21.649+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:24.764+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:27.640+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:30.707+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:33.681+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:36.743+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:39.690+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:42.661+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:45.755+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:48.656+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:51.738+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:54.697+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:44:57.722+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:45:00.751+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:45:03.738+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:45:05.717+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:45:08.729+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:45:11.800+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
[2024-12-05T08:45:14.771+0000] {OBT_file_processing.py:53} INFO - Inserted batch of 1000 documents.
