[2025-01-07T11:42:23.005+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: obt_file_processing.etl_process_obt manual__2025-01-07T11:35:24.949585+00:00 [queued]>
[2025-01-07T11:42:23.060+0000] {taskinstance.py:1103} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: obt_file_processing.etl_process_obt manual__2025-01-07T11:35:24.949585+00:00 [queued]>
[2025-01-07T11:42:23.061+0000] {taskinstance.py:1308} INFO - Starting attempt 2 of 2
[2025-01-07T11:42:23.132+0000] {taskinstance.py:1327} INFO - Executing <Task(PythonOperator): etl_process_obt> on 2025-01-07 11:35:24.949585+00:00
[2025-01-07T11:42:23.156+0000] {standard_task_runner.py:57} INFO - Started process 3388 to run task
[2025-01-07T11:42:23.171+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'obt_file_processing', 'etl_process_obt', 'manual__2025-01-07T11:35:24.949585+00:00', '--job-id', '579', '--raw', '--subdir', 'DAGS_FOLDER/OBT_file_processing.py', '--cfg-path', '/tmp/tmpd5846kuf']
[2025-01-07T11:42:23.174+0000] {standard_task_runner.py:85} INFO - Job 579: Subtask etl_process_obt
[2025-01-07T11:42:23.428+0000] {task_command.py:410} INFO - Running <TaskInstance: obt_file_processing.etl_process_obt manual__2025-01-07T11:35:24.949585+00:00 [running]> on host 8fff7f1050bf
[2025-01-07T11:42:23.661+0000] {taskinstance.py:1547} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='obt_file_processing' AIRFLOW_CTX_TASK_ID='etl_process_obt' AIRFLOW_CTX_EXECUTION_DATE='2025-01-07T11:35:24.949585+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-01-07T11:35:24.949585+00:00'
[2025-01-07T11:42:44.965+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:42:48.004+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:42:49.012+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:42:50.001+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:42:51.034+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:42:52.057+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:42:52.983+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:42:57.004+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:42:57.963+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:02.046+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:03.012+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:04.037+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:05.003+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:07.964+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:08.959+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:12.016+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:17.165+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:20.659+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:31.096+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:34.123+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:36.220+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:37.108+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:38.123+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:39.121+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:42.134+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:43.097+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:47.111+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:48.108+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:50.122+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:51.101+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:53.090+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:54.101+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:57.101+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:58.113+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:43:59.105+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:01.124+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:02.098+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:03.100+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:05.128+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 814 documents.
[2025-01-07T11:44:12.219+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:13.207+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:15.202+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:18.218+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:19.229+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:22.201+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:24.220+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:26.237+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:28.225+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:29.255+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:32.281+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:33.243+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:34.238+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:35.218+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:36.240+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:40.220+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:42.240+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:43.241+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:44.290+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:45.240+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:48.218+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:49.304+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:50.324+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:51.248+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:53.264+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:54.320+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:55.244+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:44:56.238+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:45:00.254+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:45:02.293+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:45:05.281+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:45:06.228+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:45:09.289+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:45:10.272+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:45:11.258+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:45:15.527+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:45:17.569+0000] {OBT_file_processing.py:60} INFO - Inserted batch of 1000 documents.
[2025-01-07T11:45:27.076+0000] {local_task_job_runner.py:225} INFO - Task exited with return code Negsignal.SIGKILL
[2025-01-07T11:45:27.341+0000] {taskinstance.py:2653} INFO - 0 downstream tasks scheduled from follow-on schedule check
